[perf] slow frame: frontend.slide=0.02ms frontend.draw_input=0.02ms frontend=0.05ms egui=236.91ms total=236.97ms
[perf] slow frame: frontend.slide=0.03ms frontend.draw_input=0.00ms frontend=0.05ms egui=29.80ms total=29.86ms
[perf] 67 frames | frontend.slide p50=0.03 p95=0.04 max=0.07 | frontend.draw_input p50=0.00 p95=0.00 max=0.02 | frontend p50=0.05 p95=0.07 max=0.09 | egui p50=0.46 p95=0.85 max=236.91 | total p50=0.54 p95=0.92 max=236.97
[perf] 80 frames | frontend.slide p50=0.03 p95=0.06 max=0.21 | frontend.draw_input p50=0.00 p95=0.00 max=0.00 | frontend p50=0.05 p95=0.11 max=0.23 | egui p50=0.39 p95=0.69 max=0.75 | total p50=0.45 p95=0.80 max=0.86
[perf] 80 frames | frontend.slide p50=0.03 p95=0.04 max=0.23 | frontend.draw_input p50=0.00 p95=0.00 max=0.01 | frontend p50=0.05 p95=0.07 max=0.25 | egui p50=0.44 p95=0.78 max=0.91 | total p50=0.52 p95=0.84 max=0.96
[perf] 80 frames | frontend.slide p50=0.03 p95=0.05 max=0.07 | frontend.draw_input p50=0.00 p95=0.00 max=0.04 | frontend p50=0.05 p95=0.08 max=0.09 | egui p50=0.54 p95=0.76 max=0.82 | total p50=0.59 p95=0.81 max=0.88
[perf] 80 frames | frontend.slide p50=0.03 p95=0.05 max=0.20 | frontend.draw_input p50=0.00 p95=0.00 max=0.01 | frontend p50=0.05 p95=0.08 max=0.23 | egui p50=0.54 p95=0.69 max=0.79 | total p50=0.60 p95=0.77 max=0.84
[perf] 80 frames | frontend.slide p50=0.03 p95=0.05 max=0.06 | frontend.draw_input p50=0.00 p95=0.00 max=0.00 | frontend p50=0.05 p95=0.07 max=0.11 | egui p50=0.54 p95=0.80 max=1.98 | total p50=0.61 p95=0.85 max=2.03
[perf] 69 frames | frontend.slide p50=0.03 p95=0.04 max=0.07 | frontend.draw_input p50=0.00 p95=0.00 max=0.00 | frontend p50=0.05 p95=0.07 max=0.25 | egui p50=0.42 p95=0.86 max=1.04 | total p50=0.46 p95=0.97 max=1.16
[perf] 80 frames | frontend.slide p50=0.02 p95=0.04 max=0.05 | frontend.draw_input p50=0.00 p95=0.00 max=0.00 | frontend p50=0.04 p95=0.07 max=0.23 | egui p50=0.34 p95=0.50 max=0.67 | total p50=0.39 p95=0.59 max=0.72
[perf] slow frame: frontend.slide=0.02ms frontend.draw_input=0.00ms frontend=0.04ms egui=874.19ms total=874.23ms
[perf] 37 frames | frontend.slide p50=0.02 p95=0.16 max=0.19 | frontend.draw_input p50=0.00 p95=0.00 max=0.00 | frontend p50=0.04 p95=0.17 max=0.21 | egui p50=0.36 p95=0.49 max=874.19 | total p50=0.41 p95=0.54 max=874.23
[perf] 84 frames | frontend.slide p50=0.02 p95=0.03 max=0.05 | frontend.draw_input p50=0.00 p95=0.00 max=0.00 | frontend p50=0.03 p95=0.05 max=0.09 | egui p50=0.55 p95=0.96 max=2.60 | total p50=0.59 p95=1.01 max=2.63
[perf] slow frame: frontend.slide=0.02ms frontend.draw_input=0.00ms frontend=0.03ms egui=14.72ms total=14.75ms
[perf] 81 frames | frontend.slide p50=0.02 p95=0.04 max=0.12 | frontend.draw_input p50=0.00 p95=0.00 max=0.01 | frontend p50=0.04 p95=0.07 max=0.14 | egui p50=0.51 p95=0.69 max=14.72 | total p50=0.55 p95=0.74 max=14.75
[perf] slow frame: engine.serialize=0.00ms engine.ffi.mk_string=0.00ms engine.ffi.lean=0.42ms engine.ffi.into_string=0.00ms engine.deserialize=0.03ms engine.total=0.50ms frontend.slide=0.07ms frontend.draw_input=337.72ms frontend=337.82ms egui=38.94ms total=377.31ms
[perf] 52 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=0.80 p95=1.07 max=1.46 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.03 | engine.deserialize p50=0.05 p95=0.07 max=0.07 | engine.total p50=0.95 p95=1.27 max=1.59 | frontend.slide p50=0.04 p95=0.07 max=0.09 | frontend.draw_input p50=0.18 p95=0.23 max=337.72 | frontend p50=0.24 p95=0.30 max=337.82 | egui p50=1.43 p95=3.82 max=38.94 | total p50=2.60 p95=5.12 max=377.31
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.02 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.05 | engine.ffi.lean p50=0.80 p95=1.18 max=1.39 | engine.ffi.into_string p50=0.01 p95=0.03 max=0.18 | engine.deserialize p50=0.05 p95=0.07 max=0.09 | engine.total p50=0.96 p95=1.34 max=1.52 | frontend.slide p50=0.04 p95=0.16 max=0.19 | frontend.draw_input p50=0.18 p95=0.53 max=0.74 | frontend p50=0.23 p95=0.70 max=0.88 | egui p50=1.31 p95=2.15 max=2.76 | total p50=2.52 p95=3.89 max=4.56
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.00 | engine.ffi.mk_string p50=0.00 p95=0.00 max=0.00 | engine.ffi.lean p50=0.78 p95=1.00 max=1.17 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.05 | engine.deserialize p50=0.05 p95=0.08 max=0.10 | engine.total p50=0.95 p95=1.23 max=1.33 | frontend.slide p50=0.04 p95=0.08 max=0.16 | frontend.draw_input p50=0.17 p95=0.30 max=0.46 | frontend p50=0.22 p95=0.43 max=0.56 | egui p50=1.33 p95=2.20 max=2.41 | total p50=2.51 p95=3.55 max=3.77
[perf] 81 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=0.84 p95=1.51 max=1.75 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.01 | engine.deserialize p50=0.05 p95=0.09 max=0.12 | engine.total p50=1.00 p95=1.74 max=1.98 | frontend.slide p50=0.04 p95=0.07 max=0.18 | frontend.draw_input p50=0.33 p95=0.53 max=0.65 | frontend p50=0.38 p95=0.59 max=0.72 | egui p50=1.53 p95=2.66 max=3.98 | total p50=2.94 p95=4.92 max=6.26
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.02 | engine.ffi.mk_string p50=0.00 p95=0.00 max=0.01 | engine.ffi.lean p50=0.84 p95=1.04 max=1.28 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.03 | engine.deserialize p50=0.05 p95=0.08 max=0.17 | engine.total p50=0.98 p95=1.20 max=1.40 | frontend.slide p50=0.04 p95=0.06 max=0.18 | frontend.draw_input p50=0.32 p95=0.45 max=1.98 | frontend p50=0.38 p95=0.55 max=2.06 | egui p50=1.40 p95=2.71 max=3.98 | total p50=2.77 p95=4.28 max=5.47
[perf] slow frame: engine.serialize=0.00ms engine.ffi.mk_string=0.00ms engine.ffi.lean=0.58ms engine.ffi.into_string=0.00ms engine.deserialize=0.04ms engine.total=0.69ms frontend.slide=0.04ms frontend.draw_input=11.84ms frontend=11.90ms egui=1.34ms total=13.94ms
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.02 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=0.92 p95=1.43 max=1.61 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.03 | engine.deserialize p50=0.05 p95=0.09 max=0.11 | engine.total p50=1.09 p95=1.67 max=1.86 | frontend.slide p50=0.04 p95=0.12 max=0.18 | frontend.draw_input p50=0.32 p95=0.67 max=11.84 | frontend p50=0.39 p95=0.76 max=11.90 | egui p50=1.29 p95=2.21 max=2.38 | total p50=2.84 p95=4.32 max=13.94
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.02 | engine.ffi.lean p50=1.39 p95=1.48 max=1.54 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.03 | engine.deserialize p50=0.08 p95=0.11 max=0.12 | engine.total p50=1.62 p95=1.70 max=1.91 | frontend.slide p50=0.06 p95=0.09 max=0.19 | frontend.draw_input p50=0.53 p95=0.69 max=5.72 | frontend p50=0.62 p95=0.78 max=5.83 | egui p50=1.67 p95=2.53 max=2.75 | total p50=3.98 p95=5.06 max=9.03
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=1.43 p95=1.56 max=2.73 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.03 | engine.deserialize p50=0.08 p95=0.11 max=0.14 | engine.total p50=1.65 p95=1.84 max=2.96 | frontend.slide p50=0.06 p95=0.10 max=0.21 | frontend.draw_input p50=0.62 p95=0.72 max=2.46 | frontend p50=0.71 p95=0.84 max=2.55 | egui p50=1.76 p95=2.23 max=2.82 | total p50=4.16 p95=5.17 max=6.01
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.02 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.01 | engine.ffi.lean p50=1.43 p95=1.63 max=1.83 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.05 | engine.deserialize p50=0.08 p95=0.10 max=0.14 | engine.total p50=1.66 p95=1.92 max=2.05 | frontend.slide p50=0.06 p95=0.11 max=0.22 | frontend.draw_input p50=0.49 p95=0.59 max=0.92 | frontend p50=0.58 p95=0.71 max=0.99 | egui p50=1.67 p95=2.09 max=2.55 | total p50=3.93 p95=4.61 max=5.11
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.24 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.07 | engine.ffi.lean p50=1.46 p95=1.76 max=1.84 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.04 | engine.deserialize p50=0.08 p95=0.11 max=0.15 | engine.total p50=1.68 p95=2.05 max=3.12 | frontend.slide p50=0.06 p95=0.10 max=0.13 | frontend.draw_input p50=0.60 p95=0.77 max=2.49 | frontend p50=0.69 p95=0.85 max=2.55 | egui p50=1.79 p95=2.36 max=3.08 | total p50=4.20 p95=5.14 max=6.05
